newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma,nu,pi1,pi2,pi3,pi4,pi5,pi6,lpi1,lpi2,lpi3,lpi4,lpi5,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
"Splash","Splash",6.3534391,.1,.01,.0005,81,37.8,"54","B","N","N","BUP","",45.4,1,1,1.095e-06,.00003925,.00425778,.00801706,.98768482,.98768482,1000,13,.23,3105.0914,2.457e+09,.06143668,.05,13.75066,275.01318,8.0407984,21.622397,-2.7897482,-2.9957322,2.6210868,4,1,1,1,"Splash",.07561849,.13611774,.34429477,.08624671,.35772228
"Splash","Splash",6.3534391,.1,.01,.0015,81,54.3,"107","T","N","N","SD","",65.1,2,2,3.545e-06,.00012701,.01364655,.02500898,.96121392,.96121392,1000,13,.23,3105.0914,2.457e+09,.55293007,.15,40.889824,272.59882,8.0407984,21.622397,-.59252375,-1.89712,3.7108812,4,1,1,1,"Splash",.03134638,.06470616,.23524659,.08399532,.58470555
"Splash","Splash",6.3534391,.1,.01,.003,81,59.7,"N","N","N","Sheet","SD","",71.6,3,3,.00002064,.00073895,.0744505,.11501588,.80977404,.80977404,1000,13,.23,3105.0914,2.457e+09,2.2117203,.30000001,80.716718,269.05572,8.0407984,21.622397,.79377061,-1.2039728,4.3909457,4,1,.9991627,1,"Splash",.00822963,.0182945,.08619548,.04134602,.84593438
"Broken Sheet","Broken Sheet",6.3534391,.1,.01,.004,81,57.2,"N","N","N","Sheet","Stick","Sheet Stick",68.6,4,4,.00006678,.0023872,.20589832,.22353691,.56811079,.56811079,1000,13,.23,3105.0914,2.457e+09,3.9319474,.40000003,106.69776,266.74438,8.0407984,21.622397,1.3691348,-.91629066,4.6700002,4,0,.0550025,0,"Broken or Intact Sheet",.00340344,.00768581,.03859684,.02004205,.93027186
"Splash","Splash",6.3534391,.1,.015,.0005,81,57.3,"81","B","N","N","BUP","Cool Sheet Expansion",68.7,5,5,3.105e-07,.00001113,.00121067,.00229983,.99647806,.99647806,1000,13,.23,3105.0914,1.092e+09,.06143668,.03333334,13.75066,412.51977,8.0407984,20.811467,-2.7897482,-3.4011973,2.6210868,5,1,1,1,"Splash",.07561849,.13611774,.34429477,.08624671,.35772228
"Splash","Splash",6.3534391,.1,.015,.0015,81,56.7,"97","T","Y","N","SD","",68,6,6,1.005e-06,.00003601,.00390719,.0073644,.98869141,.98869141,1000,13,.23,3105.0914,1.092e+09,.55293007,.1,40.889824,408.89823,8.0407984,20.811467,-.59252375,-2.3025851,3.7108812,5,1,1,1,"Splash",.03134638,.06470616,.23524659,.08399532,.58470555
"Splash","Splash",6.3534391,.1,.015,.003,81,82.1,"192","T","N","N","SD","",98.5,7,7,5.850e-06,.00020958,.02231798,.03989771,.93756889,.93756889,1000,13,.23,3105.0914,1.092e+09,2.2117203,.20000001,80.716718,403.58358,8.0407984,20.811467,.79377061,-1.6094379,4.3909457,5,1,1,1,"Splash",.00822963,.0182945,.08619548,.04134602,.84593438
"Splash","Splash",6.3534391,.1,.015,.004,81,75.5,"117","M","Y","Sheet","SD","Lop-sided droplet",90.6,8,8,.00001893,.0006779,.06872724,.10786384,.82271208,.82271208,1000,13,.23,3105.0914,1.092e+09,3.9319474,.26666669,106.69776,400.11657,8.0407984,20.811467,1.3691348,-1.3217558,4.6700002,5,1,.9998559,1,"Splash",.00340344,.00768581,.03859684,.02004205,.93027186
"Splash","Splash",6.3534391,.1,.02,.0005,81,74.3,"90","B","N","N","BUP","",89.2,9,9,8.801e-08,3.154e-06,.00034348,.00065413,.99899914,.99899914,1000,13,.23,3105.0914,6.144e+08,.06143668,.025,13.75066,550.02637,8.0407984,20.236103,-2.7897482,-3.6888794,2.6210868,1,1,1,1,"Splash",.07561849,.13611774,.34429477,.08624671,.35772228
"Splash","Splash",6.3534391,.1,.02,.0015,81,74.9,"104","M","N","N","SD","",89.9,10,10,2.848e-07,.00001021,.0011107,.00211053,.99676828,.99676828,1000,13,.23,3105.0914,6.144e+08,.55293007,.075,40.889824,545.19763,8.0407984,20.236103,-.59252375,-2.5902671,3.7108812,1,1,1,1,"Splash",.03134638,.06470616,.23524659,.08399532,.58470555
"Splash","Splash",6.3534391,.1,.02,.003,81,96.8,"159","M","Y","N","SD","Silo",116.1,11,11,1.658e-06,.00005942,.00643107,.01203331,.98147455,.98147455,1000,13,.23,3105.0914,6.144e+08,2.2117203,.15,80.716718,538.11144,8.0407984,20.236103,.79377061,-1.89712,4.3909457,1,1,1,1,"Splash",.00822963,.0182945,.08619548,.04134602,.84593438
"Splash","Splash",6.3534391,.1,.02,.004,81,92.6,"211","M","N","N","SD","",111.1,12,12,5.366e-06,.00019226,.02051151,.03685788,.94243299,.94243299,1000,13,.23,3105.0914,6.144e+08,3.9319474,.20000001,106.69776,533.48877,8.0407984,20.236103,1.3691348,-1.6094378,4.6700002,1,1,1,1,"Splash",.00340344,.00768581,.03859684,.02004205,.93027186
"Splash","Splash",6.3534391,.1,.025,.0005,81,96.2,"91","B","N","N","BUP","Wide",115.4,13,13,2.495e-08,8.940e-07,.00009739,.0001856,.99971609,.99971609,1000,13,.23,3105.0914,3.932e+08,.06143668,.02,13.75066,687.53298,8.0407984,19.789815,-2.7897482,-3.912023,2.6210868,2,1,1,1,"Splash",.07561849,.13611774,.34429477,.08624671,.35772228
"Splash","Splash",6.3534391,.1,.025,.0015,81,101.5,"105","B","N","N","BUP","BAD - Half of Droplet Off Surface",121.8,14,14,8.073e-08,2.893e-06,.00031509,.00060012,.99908181,.99908181,1000,13,.23,3105.0914,3.932e+08,.55293007,.06,40.889824,681.49707,8.0407984,19.789815,-.59252375,-2.8134107,3.7108812,2,1,1,1,"Splash",.03134638,.06470616,.23524659,.08399532,.58470555
"Splash","Splash",6.3534391,.1,.025,.003,81,113.3,"146","M","N","N","SD","BAD - Half of Droplet Off Surface",136,15,15,4.700e-07,.00001684,.00183155,.00347301,.99467813,.99467813,1000,13,.23,3105.0914,3.932e+08,2.2117203,.12,80.716718,672.63932,8.0407984,19.789815,.79377061,-2.1202635,4.3909457,2,1,1,1,"Splash",.00822963,.0182945,.08619548,.04134602,.84593438
"Splash","Splash",6.3534391,.1,.025,.004,81,109.8,"587","M","Y","N","SD","",131.7,16,16,1.521e-06,.0000545,.00590261,.01106138,.98297999,.98297999,1000,13,.23,3105.0914,3.932e+08,3.9319474,.16000001,106.69776,666.86098,8.0407984,19.789815,1.3691348,-1.8325814,4.6700002,2,1,1,1,"Splash",.00340344,.00768581,.03859684,.02004205,.93027186
"Splash","Splash",6.3534391,.15,.01,.0005,81,33.6,"54","T","N","N","DIS","",40.3,17,1,1.733e-06,.00006208,.00671786,.01255952,.98065881,.98065881,1000,33,.49,1223.2178,1.374e+09,.03436069,.05,6.4489219,128.97843,7.1092402,21.041303,-3.3708422,-2.9957322,1.863913,5,1,.9997456,1,"Splash",.09501247,.16134636,.36010845,.08089632,.30263641
"Splash","Splash",6.3534391,.15,.01,.0015,81,39.5,"83","N","N","N","DIS","",47.4,18,2,5.607e-06,.00020089,.02141241,.03837788,.94000321,.94000321,1000,33,.49,1223.2178,1.374e+09,.30924615,.15,19.144897,127.63265,7.1092402,21.041303,-1.1736177,-1.89712,2.9520362,5,1,.9836497,1,"Splash",.06369991,.11890162,.32758217,.08872858,.40108773
"Broken Sheet","Broken Sheet",6.3534391,.15,.01,.003,81,44.8,"129","M","N","Sheet","Stick","",53.8,19,3,.00003264,.00116831,.11277687,.15693439,.72908779,.72908779,1000,33,.49,1223.2178,1.374e+09,1.2369846,.30000001,37.699746,125.66582,7.1092402,21.041303,.21267665,-1.2039728,3.6296534,5,0,.0679247,0,"Broken or Intact Sheet",.03483088,.0711123,.24993357,.08610796,.55801529
"Intact Sheet","Intact Sheet",6.3534391,.15,.01,.004,81,47.9,"N","N","N","N","Stick","Castle",57.5,20,4,.00010562,.00377047,.29006012,.25203259,.4540312,.4540312,1000,33,.49,1223.2178,1.374e+09,2.1990839,.40000003,49.755176,124.38793,7.1092402,21.041303,.78804088,-.91629066,3.9071145,5,0,.0006122,0,"Broken or Intact Sheet",.02334501,.04943039,.19513368,.07619397,.65589696
"Splash","Splash",6.3534391,.15,.015,.0005,81,46,"55","T","N","N","DIS","",55.2,21,5,4.911e-07,.0000176,.00191363,.00362778,.9944405,.9944405,1000,33,.49,1223.2178,6.109e+08,.03436069,.03333334,6.4489219,193.46764,7.1092402,20.230373,-3.3708422,-3.4011973,1.863913,1,1,.9999992,1,"Splash",.09501247,.16134636,.36010845,.08089632,.30263641
"Splash","Splash",6.3534391,.15,.015,.0015,81,51.9,"84","M","N","N","DIS","Droplet on edge, Bad test",62.3,22,6,1.589e-06,.00005695,.00616598,.01154614,.98222934,.98222934,1000,33,.49,1223.2178,6.109e+08,.30924615,.1,19.144897,191.44897,7.1092402,20.230373,-1.1736177,-2.3025851,2.9520362,1,1,.999947,1,"Splash",.06369991,.11890162,.32758217,.08872858,.40108773
"Splash","Splash",6.3534391,.15,.015,.003,81,56.7,"91","M","N","N","SD","",68,23,7,9.253e-06,.00033146,.03484071,.06010913,.90470945,.90470945,1000,33,.49,1223.2178,6.109e+08,1.2369846,.20000001,37.699746,188.49873,7.1092402,20.230373,.21267665,-1.6094379,3.6296534,1,1,.9535996,1,"Splash",.03483088,.0711123,.24993357,.08610796,.55801529
"Splash","Splash",6.3534391,.15,.015,.004,81,60.8,"142","M","N","N","Ring","Droplet on Edge",72.9,24,8,.00002994,.00107184,.10444799,.14865936,.74579087,.74579087,1000,33,.49,1223.2178,6.109e+08,2.1990839,.26666669,49.755176,186.5819,7.1092402,20.230373,.78804088,-1.3217558,3.9071145,1,1,.138888,0,"Splash",.02334501,.04943039,.19513368,.07619397,.65589696
"Splash","Splash",6.3534391,.15,.02,.0005,81,59,"59","T","N","N","DIS","",70.8,25,9,1.392e-07,4.989e-06,.0005432,.00103388,.9984178,.9984178,1000,33,.49,1223.2178,3.436e+08,.03436069,.025,6.4489219,257.95686,7.1092402,19.655009,-3.3708422,-3.6888794,1.863913,2,1,1,1,"Splash",.09501247,.16134636,.36010845,.08089632,.30263641
"Splash","Splash",6.3534391,.15,.02,.0015,81,69.7,"90","M","N","N","DIS","",83.6,26,10,4.505e-07,.00001614,.00175571,.00332993,.99489776,.99489776,1000,33,.49,1223.2178,3.436e+08,.30924615,.075,19.144897,255.26529,7.1092402,19.655009,-1.1736177,-2.5902671,2.9520362,2,1,.9999997,1,"Splash",.06369991,.11890162,.32758217,.08872858,.40108773
"Splash","Splash",6.3534391,.15,.02,.003,81,70.8,"115","M","N","N","DIS","",85,27,11,2.623e-06,.00009398,.01013382,.0187601,.97100947,.97100947,1000,33,.49,1223.2178,3.436e+08,1.2369846,.15,37.699746,251.33163,7.1092402,19.655009,.21267665,-1.89712,3.6296534,2,1,.9996787,1,"Splash",.03483088,.0711123,.24993357,.08610796,.55801529
"Splash","Splash",6.3534391,.15,.02,.004,81,76.7,"145","M","N","N","Ring","",92,28,12,8.488e-06,.00030407,.03205453,.05573982,.91189309,.91189309,1000,33,.49,1223.2178,3.436e+08,2.1990839,.20000001,49.755176,248.77586,7.1092402,19.655009,.78804088,-1.6094378,3.9071145,2,1,.9583931,1,"Splash",.02334501,.04943039,.19513368,.07619397,.65589696
"Splash","Splash",6.3534391,.15,.025,.0005,81,71.4,"74","T","N","N","DIS","",85.7,29,13,3.946e-08,1.414e-06,.00015404,.00029351,.999551,.999551,1000,33,.49,1223.2178,2.199e+08,.03436069,.02,6.4489219,322.44608,7.1092402,19.208721,-3.3708422,-3.912023,1.863913,2,1,1,1,"Splash",.09501247,.16134636,.36010845,.08089632,.30263641
"Splash","Splash",6.3534391,.15,.025,.0015,81,80.2,"85","M","N","N","DIS","",96.2,30,14,1.277e-07,4.576e-06,.00049831,.00094857,.99854841,.99854841,1000,33,.49,1223.2178,2.199e+08,.30924615,.06,19.144897,319.08162,7.1092402,19.208721,-1.1736177,-2.8134107,2.9520362,2,1,1,1,"Splash",.06369991,.11890162,.32758217,.08872858,.40108773
"Splash","Splash",6.3534391,.15,.025,.003,81,75.5,"98","M","Y","N","SD","Horrible test",90.6,31,15,7.435e-07,.00002664,.00289395,.00547065,.99160802,.99160802,1000,33,.49,1223.2178,2.199e+08,1.2369846,.12,37.699746,314.16455,7.1092402,19.208721,.21267665,-2.1202635,3.6296534,2,1,.9999974,1,"Splash",.03483088,.0711123,.24993357,.08610796,.55801529
"Splash","Splash",6.3534391,.15,.025,.004,81,82.7,"107","M","Y","N","SD","Horrible Test, Droplet on Edge",99.2,32,16,2.406e-06,.00008621,.009304,.01726514,.97334225,.97334225,1000,33,.49,1223.2178,2.199e+08,2.1990839,.16000001,49.755176,310.96984,7.1092402,19.208721,.78804088,-1.8325814,3.9071145,2,1,.999639,1,"Splash",.02334501,.04943039,.19513368,.07619397,.65589696
