newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma_y,nu,sigma_i,sigma_f,sigma_v,pi1,pi2,pi3,pi4,pi5,pi6,pi7,pi8,,,,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
Splash,Splash,6.35,0.10,0.01,0.00,81,37.80,54,B,N,N,BUP,,45.40,1,1,0.000001,0.00,0.00,0.01,0.99,0.99,"1,000.20",13,0.23,"40,374.26","2,935.58","2,922.58",50991.9621096314000000000000000,50541.3341117852000000000000000,3105.7124334683300000000000000,24.5795841209830000000000000,0.0614489603024575000000000,0.0000000000280875387814127,68.4896828532978000000000000,0.8136834171627210000000000,,,,4,1,1,1,Splash,0.08,0.14,0.34,0.09,0.36
Splash,Splash,6.35,0.10,0.01,0.00,81,54.30,107,T,N,N,SD,,65.10,2,2,0.000004,0.00,0.01,0.03,0.96,0.96,"1,000.20",13,0.23,"40,374.26",987.19,974.19,5766.5797894804100000000000000,5615.7037901983600000000000000,3105.7124334683300000000000000,24.5795841209830000000000000,0.5530406427221170000000000,0.0000000007451065097065000,205.4690485598930000000000000,0.2712278057209070000000000,,,,4,1,1,1,Splash,0.03,0.06,0.24,0.08,0.58
Splash,Splash,6.35,0.10,0.01,0.00,81,59.70,N,N,N,Sheet,SD,,71.60,3,3,0.00,0.00,0.07,0.12,0.81,0.81,"1,000.20",13,0.23,"40,374.26",500.10,487.10,1479.8639471906200000000000000,1403.9259475495900000000000000,3105.7124334683300000000000000,24.5795841209830000000000000,2.2121625708884700000000000,0.0000000058069069768754200,410.9380971197870000000000000,0.1356139028604540000000000,,,,4,1,1.00,1,Splash,0.01,0.02,0.09,0.04,0.85
Broken Sheet,Broken Sheet,6.35,0.10,0.01,0.00,81,57.20,N,N,N,Sheet,Stick,Sheet Stick,68.60,4,4,0.00,0.00,0.21,0.22,0.57,0.57,"1,000.20",13,0.23,"40,374.26",378.32,365.32,846.9118452274130000000000000,789.7083454966440000000000000,3105.7124334683300000000000000,24.5795841209830000000000000,3.9327334593572800000000000,0.0000000135290464656095000,547.9174628263820000000000000,0.1017104271453400000000000,,,,4,0,0.06,0,Broken or Intact Sheet,0.00,0.01,0.04,0.02,0.93
Splash,Splash,6.35,0.10,0.02,0.00,81,57.30,81,B,N,N,BUP,Cool Sheet Expansion,68.70,5,5,0.000000,0.00,0.00,0.00,1.00,1.00,"1,000.20",13,0.23,"40,374.26","2,935.58","2,922.58",50991.9621096314000000000000000,50541.3341117852000000000000000,3105.7124334683300000000000000,55.3040642722117000000000000,0.0614489603024575000000000,0.0000000000280875387814127,102.7345242799470000000000000,0.5424556114418140000000000,,,,5,1,1,1,Splash,0.08,0.14,0.34,0.09,0.36
Splash,Splash,6.35,0.10,0.02,0.00,81,56.70,97,T,Y,N,SD,,68,6,6,0.000001,0.00,0.00,0.01,0.99,0.99,"1,000.20",13,0.23,"40,374.26",987.19,974.19,5766.5797894804100000000000000,5615.7037901983600000000000000,3105.7124334683300000000000000,55.3040642722117000000000000,0.5530406427221170000000000,0.0000000007451065097065000,308.2035728398400000000000000,0.1808185371472710000000000,,,,5,1,1,1,Splash,0.03,0.06,0.24,0.08,0.58
Splash,Splash,6.35,0.10,0.02,0.00,81,82.10,192,T,N,N,SD,,98.50,7,7,0.000006,0.00,0.02,0.04,0.94,0.94,"1,000.20",13,0.23,"40,374.26",500.10,487.10,1479.8639471906200000000000000,1403.9259475495900000000000000,3105.7124334683300000000000000,55.3040642722117000000000000,2.2121625708884700000000000,0.0000000058069069768754200,616.4071456796800000000000000,0.0904092685736357000000000,,,,5,1,1,1,Splash,0.01,0.02,0.09,0.04,0.85
Splash,Splash,6.35,0.10,0.02,0.00,81,75.50,117,M,Y,Sheet,SD,Lop-sided droplet,90.60,8,8,0.00,0.00,0.07,0.11,0.82,0.82,"1,000.20",13,0.23,"40,374.26",378.32,365.32,846.9118452274130000000000000,789.7083454966440000000000000,3105.7124334683300000000000000,55.3040642722117000000000000,3.9327334593572800000000000,0.0000000135290464656095000,821.8761942395730000000000000,0.0678069514302268000000000,,,,5,1,1.00,1,Splash,0.00,0.01,0.04,0.02,0.93
Splash,Splash,6.35,0.10,0.02,0.00,81,74.30,90,B,N,N,BUP,,89.20,9,9,0.000000,0.000003,0.00,0.00,1.00,1.00,"1,000.20",13,0.23,"40,374.26","2,935.58","2,922.58",50991.9621096314000000000000000,50541.3341117852000000000000000,3105.7124334683300000000000000,98.3183364839320000000000000,0.0614489603024575000000000,0.0000000000280875387814127,136.9793657065960000000000000,0.4068417085813610000000000,,,,1,1,1,1,Splash,0.08,0.14,0.34,0.09,0.36
Splash,Splash,6.35,0.10,0.02,0.00,81,74.90,104,M,N,N,SD,,89.90,10,10,0.000000,0.00,0.00,0.00,1.00,1.00,"1,000.20",13,0.23,"40,374.26",987.19,974.19,5766.5797894804100000000000000,5615.7037901983600000000000000,3105.7124334683300000000000000,98.3183364839320000000000000,0.5530406427221170000000000,0.0000000007451065097065000,410.9380971197870000000000000,0.1356139028604540000000000,,,,1,1,1,1,Splash,0.03,0.06,0.24,0.08,0.58
