        Weight Percent (W.%),Height (in),Thickness (mm),Diameter (mm),Crater Diameter From Outer Edges (mm),When Breakup Starts (Frame),Breakup Location,Inflection Point?,Retraction?,Category,Comments,,,,,,,Crater Diameter From Outer Edges (mm) (not corrected)
0.10,13.0,0.5,10.0,39.3,129,B,N,N,BUP,Bad Test,,,Stuck,,,,47.10
0.10,13.0,0.5,15.0,44.8,130,B,N,N,BUP,,,,Stick,,,,53.70
0.10,13.0,0.5,20.0,62.3,143,B,N,N,BUP,BAD Droplet,,,Fall,,,,74.80
0.10,13.0,0.5,25.0,78.1,159,B,N,N,BUP,,,,Ring,,,,93.70
0.10,13.0,1.5,10.0,35.1,N,N,N,N,Fall,,,,SD - String Dissipate,,,,42.10
0.10,13.0,1.5,15.0,38.8,N,N,N,N,Fall,,,,DIS - Dissipate,,,,46.50
0.10,13.0,1.5,20.0,63.8,213,B,Y,N,Fall,Concavity Change,,,BUP - Bottom up (dissipate),,,,76.50
0.10,13.0,1.5,25.0,99.3,197,B,N,N,Fall,,,,,,,,119.10
0.10,13.0,3.0,10.0,36.8,N,N,N,N,Stick,Bad Drop,,,,,,,44.10
0.10,13.0,3.0,15.0,46.2,N,N,N,N,Stick,,,,,,,,55.40
0.10,13.0,3.0,20.0,68.8,N,N,Y,N,Fall,Concavity Change,,,,,,,82.60
0.10,13.0,3.0,25.0,94.2,209,B,N,N,Fall,Not Smooth Impact Surface,,,,,,,113
0.10,13.0,4.0,10.0,34.2,N,N,N,N,Stick,,,,,,,,41
0.10,13.0,4.0,15.0,46.3,N,N,N,N,Stick,,,,,,,,55.50
0.10,13.0,4.0,20.0,65.3,N,N,N,N,Stick,Bad Droplet,,,,,,,78.30
0.10,13.0,4.0,25.0,92.8,N,N,N,N,Fall,"Concavity Change, Sheet held, Big",,,,,,,111.40
0.10,29.0,0.5,10.0,49.8,95,B,N,N,BUP,Changed calibration,,,,,,,59.80
0.10,29.0,0.5,15.0,67.3,101,B,N,N,BUP,,,,,,,,80.80
0.10,29.0,0.5,20.0,58.2,106,B,N,N,BUP,Sideways Droplet,,,,,,,69.80
0.10,29.0,0.5,25.0,77.2,119,B,N,N,BUP,Spreading Outwards,,,,,,,92.60
0.10,29.0,1.5,10.0,41.3,N,N,N,Sheet,Fall,Sheet Retraction,,,,,,,49.60
0.10,29.0,1.5,15.0,66.7,123,M,N,N,SD,,,,,,,,80
0.10,29.0,1.5,20.0,86.6,158,B,N,N,BUP,,,,,,,,103.90
0.10,29.0,1.5,25.0,81.6,174,B,N,N,BUP,,,,,,,,97.90
0.10,29.0,3.0,10.0,48.8,N,N,N,N,Stick,,,,,,,,58.50
0.10,29.0,3.0,15.0,72.7,182,M,N,N,Fall,,,,,,,,87.20
0.10,29.0,3.0,20.0,81.1,Prob,M,Y,N,Fall,"Rising Silo, Hit edge",,,,,,,97.30
0.10,29.0,3.0,25.0,110.6,Prob,T,N,N,Fall,Hit Edge,,,,,,,132.70
0.10,29.0,4.0,10.0,52.3,N,N,N,N,Stick,,,,,,,,62.80
0.10,29.0,4.0,15.0,70.2,T,T,N,N,Fall,,,,,,,,84.20
0.10,29.0,4.0,20.0,82.6,"3,247",T,N,N,Fall,Hit Edge,,,,,,,99.10
0.10,29.0,4.0,25.0,107.4,224,M,Y,N,Fall,Hit Edge,,,,,,,128.90
0.10,52.0,0.5,10.0,42.6,84,B,N,N,BUP,,,,,,,,51.10
0.10,52.0,0.5,15.0,56.5,95,B,N,N,BUP,,,,,,,,67.80
0.10,52.0,0.5,20.0,68.2,106,B,N,N,BUP,,,,,,,,81.80
0.10,52.0,0.5,25.0,88.2,113,B,N,N,BUP,,,,,,,,105.80
0.10,52.0,1.5,10.0,51.8,104,T,N,N,Fall,,,,,,,,62.20
0.10,52.0,1.5,15.0,48.5,108,B,N,N,Fall,,,,,,,,58.20
0.10,52.0,1.5,20.0,69.3,117,M,Y,N,SD,,,,,,,,83.20
0.10,52.0,1.5,25.0,85.7,157,B,N,N,BUP,,,,,,,,102.80
0.10,52.0,3.0,10.0,51.8,N,N,N,Sheet,Fall,,,,,,,,62.20
0.10,52.0,3.0,15.0,71.1,178,T,N,N,Fall,,,,,,,,85.30
0.10,52.0,3.0,20.0,92.0,107,M,N,N,SD,,,,,,,,110.40
0.10,52.0,3.0,25.0,108.9,174,M,Y,N,SD,,,,,,,,130.70
0.10,52.0,4.0,10.0,55.9,136,T,N,Sheet,Stick,Sheet Falls on center,,,,,,,67.10
0.10,52.0,4.0,15.0,74.5,168,M,Y,Sheet,Stick,Sheet Falls on center,,,,,,,89.40
0.10,52.0,4.0,20.0,96.7,123,M,Y,Sheet,Stick,Sheet Falls on center,,,,,,,116
0.10,52.0,4.0,25.0,122.9,189,M,Y,N,SD,,,,,,,,147.50
0.10,81.0,0.5,10.0,37.8,54,B,N,N,BUP,,,,,,,,45.40
0.10,81.0,0.5,15.0,57.3,81,B,N,N,BUP,Cool Sheet Expansion,,,,,,,68.70
0.10,81.0,0.5,20.0,74.3,90,B,N,N,BUP,,,,,,,,89.20
0.10,81.0,0.5,25.0,96.2,91,B,N,N,BUP,Wide,,,,,,,115.40
0.10,81.0,1.5,10.0,54.3,107,T,N,N,SD,,,,,,,,65.10
0.10,81.0,1.5,15.0,56.7,97,T,Y,N,SD,,,,,,,,68
0.10,81.0,1.5,20.0,74.9,104,M,N,N,SD,,,,,,,,89.90
0.10,81.0,1.5,25.0,101.5,105,B,N,N,BUP,BAD - Half of Droplet Off Surface,,,,,,,121.80
0.10,81.0,3.0,10.0,59.7,N,N,N,Sheet,SD,,,,,,,,71.60
0.10,81.0,3.0,15.0,82.1,192,T,N,N,SD,,,,,,,,98.50
0.10,81.0,3.0,20.0,96.8,159,M,Y,N,SD,Silo,,,,,,,116.10
0.10,81.0,3.0,25.0,113.3,146,M,N,N,SD,BAD - Half of Droplet Off Surface,,,,,,,136
0.10,81.0,4.0,10.0,57.2,N,N,N,Sheet,Stick,Sheet Stick,,,,,,,68.60
0.10,81.0,4.0,15.0,75.5,117,M,Y,Sheet,SD,Lop-sided droplet,,,,,,,90.60
0.10,81.0,4.0,20.0,92.6,211,M,N,N,SD,,,,,,,,111.10
0.10,81.0,4.0,25.0,109.8,587,M,Y,N,SD,,,,,,,,131.70
0.15,13.0,0.5,10.0,32.8,97,T,N,N,OUT,,,,,,,,39.30
0.15,13.0,0.5,15.0,40.0,140,B,N,N,OUT,,,,,,,,48
0.15,13.0,0.5,20.0,46.6,119,B,N,N,OUT,,,,,,,,55.90
0.15,13.0,0.5,25.0,57.3,156,B,T,N,BUP,,,,,,,,68.80
0.15,13.0,1.5,10.0,30.9,N,N,N,N,Stick,,,,,,,,37.10
0.15,13.0,1.5,15.0,42.8,N,N,N,N,Stick,,,,,,,,51.30
0.15,13.0,1.5,20.0,51.4,198,M,Y,N,Fall,Sheet Changes Concavity,,,,,,,61.70
0.15,13.0,1.5,25.0,67.3,196,M,N,N,Fall,Fall Over,,,,,,,80.80
0.15,13.0,3.0,10.0,33.7,N,N,N,N,Stick,,,,,,,,40.40
0.15,13.0,3.0,15.0,44.6,N,N,N,N,Stick,,,,,,,,53.50
0.15,13.0,3.0,20.0,53.8,194,M,N,N,Fall,,,,,,,,64.50
