newcatc,newcat,velocity,weightpercentw,diametermm,thicknessmm,heightin,craterdiameterfromouteredgesmm,whenbreakupstartsframe,breakuplocation,inflectionpoint,retraction,category,comments,craterdiameterfromouteredgesmmno,rownum,blocknum,pcat1,pcat2,pcat3,pcat4,pcat5,pcatmax,rho,sigma,nu,pi1,pi2,pi3,pi4,pi5,pi6,lpi1,lpi2,lpi3,lpi4,lpi5,_clus_2,splash,predsplash,issplash,newcat1,aaa1,aaa2,aaa3,aaa4,aaa5
Splash,Splash,6.3534391,0.1,0.01,0.0005,81,37.8,54,B,N,N,BUP,,45.4,1,1,1.10E-06,0.00003925,0.00425778,0.00801706,0.98768482,0.98768482,1000.2,13,0.23,3105.712433,2.46E+01,0.06144896,0.05,13.75340966,275.0681931,8.0407984,21.622397,-2.7897482,-2.9957322,2.6210868,4,1,1,1,Splash,0.07561849,0.13611774,0.34429477,0.08624671,0.35772228
Splash,Splash,6.3534391,0.1,0.01,0.0015,81,54.3,107,T,N,N,SD,,65.1,2,2,3.55E-06,0.00012701,0.01364655,0.02500898,0.96121392,0.96121392,1000.2,13,0.23,3105.712433,2.46E+01,0.553040643,0.15,40.89800163,272.6533442,8.0407984,21.622397,-0.59252375,-1.89712,3.7108812,4,1,1,1,Splash,0.03134638,0.06470616,0.23524659,0.08399532,0.58470555
Splash,Splash,6.3534391,0.1,0.01,0.003,81,59.7,N,N,N,Sheet,SD,,71.6,3,3,0.00002064,0.00073895,0.0744505,0.11501588,0.80977404,0.80977404,1000.2,13,0.23,3105.712433,2.46E+01,2.212162571,0.3,80.73286147,269.1095382,8.0407984,21.622397,0.79377061,-1.2039728,4.3909457,4,1,0.9991627,1,Splash,0.00822963,0.0182945,0.08619548,0.04134602,0.84593438
Broken Sheet,Broken Sheet,6.3534391,0.1,0.01,0.004,81,57.2,N,N,N,Sheet,Stick,Sheet Stick,68.6,4,4,0.00006678,0.0023872,0.20589832,0.22353691,0.56811079,0.56811079,1000.2,13,0.23,3105.712433,2.46E+01,3.932733459,0.4,106.7190959,266.7977396,8.0407984,21.622397,1.3691348,-0.91629066,4.6700002,4,0,0.0550025,0,Broken or Intact Sheet,0.00340344,0.00768581,0.03859684,0.02004205,0.93027186
Splash,Splash,6.3534391,0.1,0.015,0.0005,81,57.3,81,B,N,N,BUP,Cool Sheet Expansion,68.7,5,5,3.11E-07,0.00001113,0.00121067,0.00229983,0.99647806,0.99647806,1000.2,13,0.23,3105.712433,5.53E+01,0.06144896,0.033333333,13.75340966,412.6022897,8.0407984,20.811467,-2.7897482,-3.4011973,2.6210868,5,1,1,1,Splash,0.07561849,0.13611774,0.34429477,0.08624671,0.35772228
Splash,Splash,6.3534391,0.1,0.015,0.0015,81,56.7,97,T,Y,N,SD,,68,6,6,1.01E-06,0.00003601,0.00390719,0.0073644,0.98869141,0.98869141,1000.2,13,0.23,3105.712433,5.53E+01,0.553040643,0.1,40.89800163,408.9800163,8.0407984,20.811467,-0.59252375,-2.3025851,3.7108812,5,1,1,1,Splash,0.03134638,0.06470616,0.23524659,0.08399532,0.58470555
Splash,Splash,6.3534391,0.1,0.015,0.003,81,82.1,192,T,N,N,SD,,98.5,7,7,5.85E-06,0.00020958,0.02231798,0.03989771,0.93756889,0.93756889,1000.2,13,0.23,3105.712433,5.53E+01,2.212162571,0.2,80.73286147,403.6643074,8.0407984,20.811467,0.79377061,-1.6094379,4.3909457,5,1,1,1,Splash,0.00822963,0.0182945,0.08619548,0.04134602,0.84593438
Splash,Splash,6.3534391,0.1,0.015,0.004,81,75.5,117,M,Y,Sheet,SD,Lop-sided droplet,90.6,8,8,0.00001893,0.0006779,0.06872724,0.10786384,0.82271208,0.82271208,1000.2,13,0.23,3105.712433,5.53E+01,3.932733459,0.266666667,106.7190959,400.1966095,8.0407984,20.811467,1.3691348,-1.3217558,4.6700002,5,1,0.9998559,1,Splash,0.00340344,0.00768581,0.03859684,0.02004205,0.93027186
Splash,Splash,6.3534391,0.1,0.02,0.0005,81,74.3,90,B,N,N,BUP,,89.2,9,9,8.80E-08,3.15E-06,0.00034348,0.00065413,0.99899914,0.99899914,1000.2,13,0.23,3105.712433,9.83E+01,0.06144896,0.025,13.75340966,550.1363863,8.0407984,20.236103,-2.7897482,-3.6888794,2.6210868,1,1,1,1,Splash,0.07561849,0.13611774,0.34429477,0.08624671,0.35772228
Splash,Splash,6.3534391,0.1,0.02,0.0015,81,74.9,104,M,N,N,SD,,89.9,10,10,2.85E-07,0.00001021,0.0011107,0.00211053,0.99676828,0.99676828,1000.2,13,0.23,3105.712433,9.83E+01,0.553040643,0.075,40.89800163,545.3066885,8.0407984,20.236103,-0.59252375,-2.5902671,3.7108812,1,1,1,1,Splash,0.03134638,0.06470616,0.23524659,0.08399532,0.58470555
