Trial,Model,Train,Test
0,RMSprop,0.8578431372549019,0.9230769230769231
0,Adam,0.9264705882352942,0.9230769230769231
0,AdamW,0.946078431372549,0.9230769230769231
1,RMSprop,0.9313725490196079,0.9038461538461539
1,Adam,0.9656862745098039,0.9423076923076923
1,AdamW,0.9705882352941176,0.9038461538461539
2,RMSprop,0.9754901960784313,0.9038461538461539
2,Adam,0.9852941176470589,0.9230769230769231
2,AdamW,0.9852941176470589,0.9230769230769231
3,RMSprop,0.9950980392156863,0.9038461538461539
3,Adam,0.9852941176470589,0.9423076923076923
3,AdamW,0.9950980392156863,0.9038461538461539
4,RMSprop,1.0,0.9038461538461539
4,Adam,1.0,0.9038461538461539
4,AdamW,0.9950980392156863,0.9423076923076923
5,RMSprop,1.0,0.9038461538461539
5,Adam,1.0,0.9423076923076923
5,AdamW,1.0,0.9230769230769231
6,RMSprop,1.0,0.9038461538461539
6,Adam,1.0,0.9230769230769231
6,AdamW,0.9950980392156863,0.8653846153846154
7,RMSprop,1.0,0.9038461538461539
7,Adam,1.0,0.9038461538461539
7,AdamW,1.0,0.9230769230769231
8,RMSprop,0.9901960784313726,0.8846153846153846
8,Adam,1.0,0.9038461538461539
8,AdamW,1.0,0.9038461538461539
9,RMSprop,1.0,0.9038461538461539
9,Adam,1.0,0.9423076923076923
9,AdamW,1.0,0.9230769230769231
