Trial,Model,Train,Test
0,RMSprop,1.0,0.8269230769230769
0,Adam,1.0,0.7884615384615384
0,AdamW,1.0,0.7884615384615384
0,Adagrad,1.0,0.7884615384615384
0,Adadelta,1.0,0.7884615384615384
0,SGD,1.0,0.7884615384615384
0,Nadam,1.0,0.7884615384615384
0,Adafactor,1.0,0.7884615384615384
0,Adamax,1.0,0.7884615384615384
0,LossScaleOptimizer(Adam),1.0,0.8076923076923077
1,RMSprop,1.0,0.7884615384615384
1,Adam,1.0,0.8269230769230769
1,AdamW,1.0,0.8461538461538461
1,Adagrad,1.0,0.8461538461538461
1,Adadelta,1.0,0.8461538461538461
1,SGD,1.0,0.8461538461538461
1,Nadam,1.0,0.8269230769230769
1,Adafactor,1.0,0.8269230769230769
1,Adamax,1.0,0.7884615384615384
1,LossScaleOptimizer(Adam),1.0,0.7884615384615384
2,RMSprop,1.0,0.8269230769230769
2,Adam,1.0,0.7884615384615384
2,AdamW,1.0,0.8076923076923077
2,Adagrad,1.0,0.8076923076923077
2,Adadelta,1.0,0.8076923076923077
2,SGD,1.0,0.8076923076923077
2,Nadam,1.0,0.7884615384615384
2,Adafactor,1.0,0.7884615384615384
2,Adamax,1.0,0.7884615384615384
2,LossScaleOptimizer(Adam),1.0,0.8269230769230769
3,RMSprop,1.0,0.8461538461538461
3,Adam,1.0,0.7884615384615384
3,AdamW,1.0,0.8076923076923077
3,Adagrad,1.0,0.8076923076923077
3,Adadelta,1.0,0.8076923076923077
3,SGD,1.0,0.8076923076923077
3,Nadam,1.0,0.8076923076923077
3,Adafactor,1.0,0.8461538461538461
3,Adamax,1.0,0.8461538461538461
3,LossScaleOptimizer(Adam),1.0,0.8461538461538461
4,RMSprop,1.0,0.8653846153846154
4,Adam,1.0,0.8461538461538461
4,AdamW,1.0,0.8846153846153846
4,Adagrad,1.0,0.8653846153846154
4,Adadelta,1.0,0.8653846153846154
4,SGD,1.0,0.8846153846153846
4,Nadam,1.0,0.8269230769230769
4,Adafactor,1.0,0.8653846153846154
4,Adamax,1.0,0.8269230769230769
4,LossScaleOptimizer(Adam),1.0,0.8269230769230769
