Trial,Model,Train,Test
0,RMSprop,0.8578431372549019,0.9423076923076923
0,Adam,0.9362745098039216,0.9038461538461539
0,AdamW,0.9509803921568627,0.9230769230769231
0,Adagrad,0.9509803921568627,0.9038461538461539
0,Adadelta,0.9509803921568627,0.9038461538461539
0,SGD,0.9509803921568627,0.9038461538461539
0,Nadam,0.9607843137254902,0.9038461538461539
0,Adafactor,0.9607843137254902,0.9038461538461539
0,Adamax,0.9656862745098039,0.9038461538461539
0,LossScaleOptimizer(Adam),0.9656862745098039,0.9230769230769231
1,RMSprop,0.9803921568627451,0.9230769230769231
1,Adam,0.9803921568627451,0.9423076923076923
1,AdamW,0.9852941176470589,0.9423076923076923
1,Adagrad,0.9852941176470589,0.9230769230769231
1,Adadelta,0.9852941176470589,0.9230769230769231
1,SGD,0.9852941176470589,0.9230769230769231
1,Nadam,0.9852941176470589,0.9423076923076923
1,Adafactor,0.9852941176470589,0.9423076923076923
1,Adamax,0.9852941176470589,0.9423076923076923
1,LossScaleOptimizer(Adam),0.9950980392156863,0.9423076923076923
2,RMSprop,0.9852941176470589,0.9038461538461539
2,Adam,1.0,0.9230769230769231
2,AdamW,1.0,0.9230769230769231
2,Adagrad,1.0,0.9230769230769231
2,Adadelta,1.0,0.9230769230769231
2,SGD,1.0,0.9230769230769231
2,Nadam,1.0,0.9230769230769231
2,Adafactor,1.0,0.9230769230769231
2,Adamax,1.0,0.9230769230769231
2,LossScaleOptimizer(Adam),0.9950980392156863,0.9230769230769231
3,RMSprop,1.0,0.9230769230769231
3,Adam,1.0,0.9230769230769231
3,AdamW,1.0,0.9230769230769231
3,Adagrad,1.0,0.9230769230769231
3,Adadelta,1.0,0.9230769230769231
3,SGD,1.0,0.9230769230769231
3,Nadam,1.0,0.9230769230769231
3,Adafactor,1.0,0.9230769230769231
3,Adamax,1.0,0.9038461538461539
3,LossScaleOptimizer(Adam),1.0,0.9423076923076923
4,RMSprop,1.0,0.9038461538461539
4,Adam,1.0,0.9423076923076923
4,AdamW,1.0,0.9423076923076923
4,Adagrad,1.0,0.9423076923076923
4,Adadelta,1.0,0.9423076923076923
4,SGD,1.0,0.9423076923076923
4,Nadam,1.0,0.9423076923076923
4,Adafactor,1.0,0.9423076923076923
4,Adamax,1.0,0.9230769230769231
4,LossScaleOptimizer(Adam),1.0,0.9423076923076923
5,RMSprop,1.0,0.9230769230769231
5,Adam,1.0,0.9038461538461539
